Series;Peak_Temperature;Start_Temperature;End_Temperature;Area
C1_S3;29.34483;18.34483;38.34483;-0.4666099999999993
C1_S3;97.34483;80.34483;106.34483;-0.5721950000000007
C1_S5;55.34483;45.34483;62.34483;0.40358499999999964
C1_S5;110.34483;91.34483;120.34483;0.5151500000000002
C2_S3;29.34483;18.34483;37.34483;-0.494015000000001
C2_S3;97.34483;80.34483;107.34483;-0.6083649999999992
C2_S5;55.34483;41.34483;62.34483;0.4468949999999996
C2_S5;110.34483;87.34483;120.34483;0.6303450000000002
C3_S3;29.34483;15.34483;37.34483;-0.48940499999999876
C3_S3;97.34483;80.34483;107.34483;-0.6127199999999995
C3_S5;54.34483;44.34483;65.34483;0.40390499999999996
C3_S5;109.34483;88.34483;122.34483;0.6208599999999986
C4_S3;29.34483;18.34483;37.34483;-0.4610399999999997
C4_S3;97.34483;80.34483;107.34483;-0.6112099999999998
C4_S5;55.34483;45.34483;64.34483;0.38504000000000005
C4_S5;110.34483;84.34483;122.34483;0.7135900000000017
C5_S3;29.34483;16.34483;37.34483;-0.5093550000000011
C5_S3;97.34483;81.34483;107.34483;-0.6366950000000013
C5_S5;53.34483;39.34483;67.34483;0.4440950000000008
C5_S5;108.34483;87.34483;123.34483;0.6366399999999999
C6_S3;29.34483;16.34483;38.34483;-0.8716300000000032
C6_S3;97.34483;76.34483;106.34483;-1.1135599999999997
C6_S3;181.34483;164.34483;196.34483;-0.35735999999999635
C6_S5;54.34483;39.34483;65.34483;0.7975649999999987
C6_S5;109.34483;82.34483;122.34483;1.1998749999999987
C6_S5;242.34483;229.34483;253.34483;0.1577300000000026
C7_S3;29.34483;17.34483;37.34483;-0.8004499999999988
C7_S3;97.34483;74.34483;104.34483;-1.291459999999999
C7_S3;178.34483;159.34483;193.34483;-0.44778999999999947
C7_S5;55.34483;44.34483;67.34483;0.6833599999999986
C7_S5;110.34483;76.34483;125.34483;1.5202900000000028
C7_S5;242.34483;224.34483;253.34483;0.3066999999999993
C8_S3;30.34483;18.34483;38.34483;-0.8531500000000012
C8_S3;97.34483;75.34483;106.34483;-1.3176349999999974
C8_S3;182.34483;162.34483;197.34483;-0.49367499999999787
C8_S5;55.34483;42.34483;63.34483;0.7580800000000014
C8_S5;110.34483;78.34483;122.34483;1.4947850000000038
C8_S5;243.34483;223.34483;254.34483;0.3657199999999996
C9_S3;30.34483;17.34483;38.34483;-0.9258150000000018
C9_S3;97.34483;69.34483;106.34483;-1.599770000000003
C9_S3;182.34483;164.34483;198.34483;-0.5113299999999992
C9_S5;55.34483;40.34483;62.34483;0.8255649999999992
C9_S5;110.34483;78.34483;122.34483;1.6813350000000007
C9_S5;243.34483;227.34483;253.34483;0.26002499999999884
C10_S3;30.34483;16.34483;38.34483;-0.8994000000000009
C10_S3;97.34483;69.34483;106.34483;-1.6236800000000038
C10_S3;183.34483;166.34483;199.34483;-0.5525200000000012
C10_S5;55.34483;42.34483;65.34483;0.7905499999999996
C10_S5;110.34483;77.34483;124.34483;1.7534499999999973
C10_S5;243.34483;225.34483;253.34483;0.36087500000000006
